codigo,descripcion,nivel
9214,Actividades teatrales y musicales y otras actividades artísticas.,4
9219,Otras actividades de entretenimiento n.c.p.,4
922,Actividades de agencias de noticias.,3
9220,Actividades de agencias de noticias.,4
923,"Actividades de bibliotecas, archivos y museos y otras actividades culturales.",3
9231,Actividades de bibliotecas y archivos.,4
9232,Actividades de museos y preservación de lugares y edificios históricos.,4
9233,Actividades de jardines botánicos y zoológicos y de parques nacionales.,4
924,Actividades deportivas y otras actividades de esparcimiento.,3
9241,Actividades deportivas.,4
9249,Otras actividades de esparcimiento.,4
93,Otras actividades de servicios.,2
930,Otras actividades de servicios.,3
9301,"Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en seco.",4
9302,Peluquería y otros tratamientos de belleza.,4
9303,Pompas fúnebres y actividades conexas.,4
9309,Otras actividades de servicios n.c.p.,4
P,Hogares privados con servicio doméstico.,1
95,Hogares privados con servicio doméstico.,2
950,Hogares privados con servicio doméstico.,3
9500,Hogares privados con servicio doméstico.,4
Q,Organizaciones y órganos extraterritoriales.,1
99,Organizaciones y órganos extraterritoriales.,2
990,Organizaciones y órganos extraterritoriales.,3
9900,Organizaciones y órganos extraterritoriales.,4
