codigo,descripcion,nivel
2029,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables.",4
21,Fabricación de papel y de productos de papel.,2
210,Fabricación de papel y de productos de papel.,3
2101,"Fabricación de pasta de madera, papel y cartón.",4
2102,Fabricación de papel y cartón ondulado y de envases de papel y cartón.,4
2109,Fabricación de otros artículos de papel y cartón.,4
22,Actividades de edición e impresión y de reproducción de grabaciones.,2
221,Actividades de edición.,3
2211,"Edición de libros, folletos, partituras y otras publicaciones.",4
2212,"Edición de periódicos, revistas y publicaciones periódicas.",4
2213,Edición de grabaciones.,4
2219,Otras actividades de edición.,4
222,Actividades de impresión y actividades de servicios conexas.,3
2221,Actividades de impresión.,4
2222,Actividades de servicios relacionadas con la impresión.,4
223,Reproducción de grabaciones.,3
2230,Reproducción de grabaciones.,4
23,"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear.",2
231,Fabricación de productos de hornos de coque.,3
2310,Fabricación de productos de hornos de coque.,4
232,Fabricación de productos de la refinación del petróleo.,3
2320,Fabricación de productos de la refinación del petróleo.,4
233,Elaboración de combustible nuclear.,3
2330,Elaboración de combustible nuclear.,4
24,Fabricación de sustancias y productos químicos.,2
241,Fabricación de sustancias químicas básicas.,3
2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno.",4
2412,Fabricación de abonos y compuestos de nitrógeno.,4
2413,Fabricación de plásticos en formas primarias y de caucho sintítico.,4
242,Fabricación de otros productos químicos.,3
2421,Fabricación de plaguicidas y otros productos químicos de uso agropecuario.,4
2422,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas.",4
2423,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos.",4
2424,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador.",4
2429,Fabricación de otros productos químicos n.c.p.,4
243,Fabricación de fibras manufacturadas.,3
2430,Fabricación de fibras manufacturadas.,4
25,Fabricación de productos de caucho y plástico.,2
251,Fabricación de productos de caucho.,3
2511,Fabricación de cubiertas y cámaras de caucho; recauchado y renovación de cubiertas de caucho.,4
2519,Fabricación de otros productos de caucho.,4
252,Fabricación de productos de plástico.,3
2520,Fabricación de productos de plástico.,4
26,Fabricación de otros productos minerales no metálicos.,2
261,Fabricación de vidrio y productos de vidrio.,3
2610,Fabricación de vidrio y productos de vidrio.,4
269,Fabricación de productos minerales no metálicos n.c.p.,3
2691,Fabricación de productos de cerámica no refractaria para uso no estructural.,4
2692,Fabricación de productos de cerámica refractaria.,4
2693,Fabricación de productos de arcilla y cerámica no refractarias para uso estructural.,4
2694,"Fabricación de cemento, cal y yeso.",4
2695,"Fabricación de artículos de hormigón, cemento y yeso.",4
2696,"Corte, tallado y acabado de la piedra.",4
2699,Fabricación de otros productos minerales no metálicos n.c.p.,4
27,Fabricación de metales comunes.,2
271,Industrias básicas de hierro y acero.,3
2710,Industrias básicas de hierro y acero.,4
272,Fabricación de productos primarios de metales preciosos y metales no ferrosos.,3
2720,Fabricación de productos primarios de metales preciosos y metales no ferrosos.,4
273,Fundición de metales.,3
2731,Fundición de hierro y acero.,4
2732,Fundición de metales no ferrosos.,4
28,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo.",2
281,"Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor.",3
2811,Fabricación de productos metálicos para uso estructural.,4
2812,"Fabricación de tanques, depósitos y recipientes de metal.",4
2813,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central.",4
289,Fabricación de otros productos elaborados de metal; actividades de servicios de trabajo de metales.,3
2891,"Forja, prensado, estampado y laminado de metales; pulvimetalurgia.",4
2892,Tratamiento y revestimiento de metales; obras de ingeniería mecánica en general realizadas a cambio de una retribución o por contrata.,4
2893,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería.",4
2899,Fabricación de otros productos elaborados de metal n.c.p.,4
29,Fabricación de maquinaria y equipo n.c.p.,2
291,Fabricación de maquinaria de uso general.,3
2911,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas.",4
2912,"Fabricación de bombas, compresores, grifos y válvulas.",4
2913,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión.",4
2914,"Fabricación de hornos, hogueras y quemadores.",4
2915,Fabricación de equipo de elevación y manipulación.,4
2919,Fabricación de otros tipos de maquinaria de uso general.,4
292,Fabricación de maquinaria de uso especial.,3
2921,Fabricación de maquinaria agropecuaria y forestal.,4
2922,Fabricación de máquinas herramienta.,4
2923,Fabricación de maquinaria metalúrgica.,4
2924,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción.,4
2925,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.",4
2926,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros.",4
2927,Fabricación de armas y municiones.,4
2929,Fabricación de otros tipos de maquinaria de uso especial.,4
293,Fabricación de aparatos de uso doméstico n.c.p.,3
2930,Fabricación de aparatos de uso doméstico n.c.p.,4
30,"Fabricación de maquinaria de oficina, contabilidad e informática.",2
300,"Fabricación de maquinaria de oficina, contabilidad e informática.",3
3000,"Fabricación de maquinaria de oficina, contabilidad e informática.",4
31,Fabricación de maquinaria y aparatos eléctricos n.c.p.,2
311,"Fabricación de motores, generadores y transformadores eléctricos.",3
3110,"Fabricación de motores, generadores y transformadores eléctricos.",4
312,Fabricación de aparatos de distribución y control de la energía eléctrica.,3
3120,Fabricación de aparatos de distribución y control de la energía eléctrica.,4
313,Fabricación de hilos y cables aislados.,3
3130,Fabricación de hilos y cables aislados.,4
314,Fabricación de acumuladores y de pilas y baterías primarias.,3
3140,Fabricación de acumuladores y de pilas y baterías primarias.,4
315,Fabricación de lámparas eléctricas y equipo de iluminación.,3
3150,Fabricación de lámparas eléctricas y equipo de iluminación.,4
319,Fabricación de otros tipos de equipo eléctrico n.c.p.,3
3190,Fabricación de otros tipos de equipo eléctrico n.c.p.,4
32,"Fabricación de equipo y aparatos de radio, televisión y comunicaciones.",2
321,Fabricación de tubos y válvulas electrónicos y de otros componentes electrónicos.,3
3210,Fabricación de tubos y válvulas electrónicos y de otros componentes electrónicos.,4
322,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos.,3
3220,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos.,4
323,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y vídeo, y productos conexos.",3
3230,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y vídeo, y productos conexos.",4
33,"Fabricación de instrumentos médicos, ópticos y de precisión y fabricación de relojes.",2
331,"Fabricación de aparatos e instrumentos médicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de ópticas.",3
3311,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos.,4
3312,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, excepto el equipo de control de procesos industriales.",4
3313,Fabricación de equipo de control de procesos industriales.,4
332,Fabricación de instrumentos de óptica y equipo fotográfico.,3
3320,Fabricación de instrumentos de óptica y equipo fotográfico.,4
333,Fabricación de relojes.,3
3330,Fabricación de relojes.,4
34,"Fabricación de vehículos automotores, remolques y semirremolques.",2
341,Fabricación de vehículos automotores.,3
3410,Fabricación de vehículos automotores.,4
342,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques.,3
3420,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques.,4
343,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores.",3
3430,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores.",4
35,Fabricación de otros tipos de equipo de transporte.,2
351,Construcción y reparación de buques y otras embarcaciones.,3
3511,Construcción y reparación de buques.,4
3512,Construcción y reparación de embarcaciones de recreo y deporte.,4
352,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías.,3
3520,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías.,4
353,Fabricación de aeronaves y naves espaciales.,3
3530,Fabricación de aeronaves y naves espaciales.,4
359,Fabricación de otros tipos de equipo de transporte n.c.p.,3
3591,Fabricación de motocicletas.,4
3592,Fabricación de bicicletas y de sillones de ruedas para inválidos.,4
3599,Fabricación de otros tipos de equipo de transporte n.c.p.,4
36,Fabricación de muebles; industrias manufactureras n.c.p.,2
361,Fabricación de muebles.,3
3610,Fabricación de muebles.,4
369,Industrias manufactureras n.c.p.,3
3691,Fabricación de joyas y artículos conexos.,4
3692,Fabricación de instrumentos de música.,4
3693,Fabricación de artículos de deporte.,4
3694,Fabricación de juegos y juguetes.,4
3699,Otras industrias manufactureras n.c.p.,4
37,Reciclamiento.,2
371,Reciclamiento de desperdicios y desechos metálicos.,3
3710,Reciclamiento de desperdicios y desechos metálicos.,4
372,Reciclamiento de desperdicios y desechos no metálicos.,3
3720,Reciclamiento de desperdicios y desechos no metálicos.,4
E,"Suministro de electricidad, gas y agua.",1
40,"Suministro de electricidad, gas, vapor y agua caliente.",2
401,"Generación, captación y distribución de energía eléctrica.",3
4010,"Generación, captación y distribución de energía eléctrica.",4
402,Fabricación de gas; distribución de combustibles gaseosos por tuberías.,3
4020,Fabricación de gas; distribución de combustibles gaseosos por tuberías.,4
403,Suministro de vapor y agua caliente.,3
4030,Suministro de vapor y agua caliente.,4
41,"Captación, depuración y distribución de agua.",2
410,"Captación, depuración y distribución de agua.",3
4100,"Captación, depuración y distribución de agua.",4
F,Construcción.,1
45,Construcción.,2
451,Preparación del terreno.,3
4510,Preparación del terreno.,4
452,Construcción de edificios completos y de partes de edificios; obras de ingeniería civil.,3
4520,Construcción de edificios completos y de partes de edificios; obras de ingeniería civil.,4
453,Acondicionamiento de edificios.,3
4530,Acondicionamiento de edificios.,4
454,Terminación de edificios.,3
4540,Terminación de edificios.,4
455,Alquiler de equipo de construcción y demolición dotado de operarios.,3
4550,Alquiler de equipo de construcción y demolición dotado de operarios.,4
G,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos.",1
50,"Venta, mantenimiento y reparación de vehículos automotores y motocicletas; venta al por menor de combustible para automotores.",2
501,Venta de vehículos automotores.,3
5010,Venta de vehículos automotores.,4
502,Mantenimiento y reparación de vehículos automotores.,3
5020,Mantenimiento y reparación de vehículos automotores.,4
503,"Venta de partes, piezas y accesorios de vehículos automotores.",3
5030,"Venta de partes, piezas y accesorios de vehículos automotores.",4
504,"Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios.",3
